Timestamp,Data,Label,Reason,Confidence
2025-06-14 22:04:31,"{'src_port': 443, 'dst_port': 1285, 'packet_size': 8344, 'duration_ms': 274, 'protocol': 'TCP'}",Suspicious Traffic,The packet size of 8344 bytes is unusually large for a TCP connection. This could indicate a potential denial-of-service (DoS) attack or a malicious payload being transmitted. It is important to investigate further to determine the source and nature of the traffic.,0.0006376925060199712
2025-06-14 22:04:48,"{'src_port': 8080, 'dst_port': 33725, 'packet_size': 128, 'duration_ms': 428, 'protocol': 'UDP'}",Packet Size Anomaly,"The packet size of 128 bytes is significantly larger than the average packet size of UDP traffic, which is typically around 500 bytes. This could indicate a malicious activity such as a denial-of-service (DoS) attack or a man-in-the-middle (MITM) attack.",0.010325385948794064
2025-06-14 22:04:52,"{'src_port': 8080, 'dst_port': 5084, 'packet_size': 1096, 'duration_ms': 70, 'protocol': 'TCP'}",Packet Size Anomaly,The packet size of 1096 bytes is significantly larger than the average packet size of 500 bytes for this particular network traffic. This could indicate a potential security issue such as a denial-of-service (DoS) attack or a malicious payload being transmitted.,0.029792367756832472
2025-06-14 22:05:00,"{'src_port': 8080, 'dst_port': 17349, 'packet_size': 209, 'duration_ms': 75, 'protocol': 'TCP'}",Connection Duration Anomaly,"The duration of the connection between the source and destination ports is unusually long for a typical HTTP request. The duration of 75ms is significantly higher than the average duration of an HTTP request, which is typically less than 100ms. This could indicate a potential security issue, such as a denial-of-service (DoS) attack or a malicious connection attempt. Further investigation is required to determine the cause of the anomaly.",0.00474058507576669
2025-06-14 22:05:02,"{'src_port': 8080, 'dst_port': 53298, 'packet_size': 164, 'duration_ms': 331, 'protocol': 'UDP'}",DDoS Attack,"The packet size of 164 bytes is unusually large for a UDP packet, which typically have a maximum size of 65535 bytes. This indicates a possible Distributed Denial of Service (DDoS) attack, where attackers flood the network with large packets to overwhelm the server.",0.015448151525009779
2025-06-14 22:05:10,"{'src_port': 8080, 'dst_port': 53012, 'packet_size': 116, 'duration_ms': 71, 'protocol': 'UDP'}",Packet Size Anomaly,The packet size of 116 bytes is significantly larger than the average packet size for UDP traffic on port 53012. This could indicate a malicious activity such as a denial-of-service (DoS) attack or a man-in-the-middle (MITM) attack.,0.04436227101144408
2025-06-14 22:05:18,"{'src_port': 8080, 'dst_port': 64364, 'packet_size': 1095, 'duration_ms': 152, 'protocol': 'UDP'}",High Traffic Anomaly,The packet size of 1095 bytes is significantly larger than the average packet size for UDP traffic. This could indicate a potential denial-of-service (DoS) attack or a malicious actor attempting to flood the network with large packets. It is important to investigate further to determine the cause of this anomaly.,0.017760430124183935
2025-06-14 22:05:40,"{'src_port': 6666, 'dst_port': 63995, 'packet_size': 610, 'duration_ms': 476, 'protocol': 'TCP'}",Connection Duration Anomaly,The duration of the connection between the source and destination ports is significantly longer than the average connection duration for this protocol. This could indicate a potential security issue or a malicious activity.,0.028994658612998103
2025-06-14 22:06:10,"{'src_port': 8080, 'dst_port': 4901, 'packet_size': 1092, 'duration_ms': 409, 'protocol': 'UDP'}",Packet Size Anomaly,"The packet size of 1092 bytes is significantly larger than the average packet size of UDP traffic, which is typically around 500-1000 bytes. This could indicate a malicious activity such as a denial-of-service (DoS) attack or a man-in-the-middle (MITM) attack.",0.011781459124299731
2025-06-14 22:06:16,"{'src_port': 443, 'dst_port': 62049, 'packet_size': 6836, 'duration_ms': 271, 'protocol': 'TCP'}",Suspicious Traffic,The packet size of 6836 bytes is unusually large for a TCP connection. This could indicate a potential man-in-the-middle attack or a malicious payload being transmitted. Further investigation is required to determine the cause of this anomaly.,0.005413458947680638
2025-06-14 22:06:26,"{'src_port': 8080, 'dst_port': 59442, 'packet_size': 950, 'duration_ms': 431, 'protocol': 'TCP'}",Connection Duration Anomaly,"The duration of the connection between the source and destination ports is significantly longer than the average connection duration for this particular protocol. The average connection duration for TCP is typically around 100-200 ms, while the duration of this connection is 431 ms. This could indicate a potential security issue, such as a denial-of-service (DoS) attack or a malicious connection attempting to establish a long-lived connection for malicious purposes.",0.01859243662444965
2025-06-14 22:06:28,"{'src_port': 8080, 'dst_port': 62765, 'packet_size': 378, 'duration_ms': 192, 'protocol': 'UDP'}",High Traffic Anomaly,"The packet size of 378 bytes is significantly larger than the average packet size for UDP traffic, which is typically around 500 bytes. This could indicate a potential denial-of-service (DoS) attack or a malicious actor attempting to flood the network with large packets.",0.007680103196167853
2025-06-14 22:06:30,"{'src_port': 443, 'dst_port': 59433, 'packet_size': 7116, 'duration_ms': 75, 'protocol': 'TCP'}",Connection Length Anomaly,"The duration of the connection is significantly longer than the average connection length for the given protocol and port combination. The average connection length for TCP on port 443 is typically less than 500ms. The duration of this connection is 75ms, which is more than 4 times the average. This could indicate a potential security issue, such as a denial-of-service (DoS) attack or a malicious connection.",0.027193707125660604
2025-06-14 22:06:40,"{'src_port': 443, 'dst_port': 55846, 'packet_size': 5260, 'duration_ms': 498, 'protocol': 'TCP'}",Connection Length Anomaly,"The duration of the connection (498 ms) is significantly longer than the average duration of a TCP connection (around 50 ms). This could indicate a potential security issue, such as a denial-of-service (DoS) attack or a malicious connection attempt. It is important to investigate further to determine the cause of the anomaly.",0.02461542145699247
2025-06-14 22:06:46,"{'src_port': 80, 'dst_port': 64934, 'packet_size': 1407, 'duration_ms': 450, 'protocol': 'UDP'}",Packet Size Anomaly,The packet size of 1407 bytes is significantly larger than the average packet size for UDP traffic on port 64934. This could indicate a malicious activity such as a denial-of-service (DoS) attack or a man-in-the-middle (MITM) attack.,0.0014815021207257306
2025-06-14 22:07:00,"{'src_port': 80, 'dst_port': 1054, 'packet_size': 1460, 'duration_ms': 441, 'protocol': 'UDP'}",Packet Size Anomaly,"The packet size of 1460 bytes is significantly larger than the average packet size for UDP traffic, which is typically around 500-1000 bytes. This could indicate a potential security issue, such as a denial-of-service (DoS) attack or malicious traffic attempting to exploit a vulnerability in the network.",0.015036777843647653
2025-06-14 22:07:12,"{'src_port': 9999, 'dst_port': 61952, 'packet_size': 1155, 'duration_ms': 443, 'protocol': 'TCP'}",Connection Duration Anomaly,The duration of the connection is significantly longer than the average connection duration for this particular protocol and port combination. This could indicate a potential security issue or a malicious activity.,0.026505514796714813
2025-06-14 22:07:22,"{'src_port': 8080, 'dst_port': 35340, 'packet_size': 208, 'duration_ms': 54, 'protocol': 'UDP'}",Packet Size Anomaly,"The packet size of 208 bytes is significantly larger than the average packet size of UDP traffic, which is typically around 500 bytes. This could indicate a potential security issue or a malicious activity on the network.",0.03077149459330486
2025-06-14 22:07:44,"{'src_port': 8080, 'dst_port': 13940, 'packet_size': 411, 'duration_ms': 498, 'protocol': 'UDP'}",Packet Size Anomaly,"The packet size of 411 bytes is significantly larger than the average packet size for UDP traffic, which is typically around 500 bytes. This could indicate a malicious activity such as a denial-of-service (DoS) attack or a man-in-the-middle (MITM) attack.",0.03097988013587949
2025-06-14 22:07:59,"{'src_port': 9999, 'dst_port': 64232, 'packet_size': 859, 'duration_ms': 464, 'protocol': 'TCP'}",Packet Size Anomaly,The packet size of 859 bytes is significantly larger than the average packet size of 64 bytes for TCP traffic. This could indicate a potential security issue or a malicious activity such as a denial-of-service (DoS) attack.,0.036894253725427206
2025-06-14 22:08:02,"{'src_port': 8080, 'dst_port': 60618, 'packet_size': 947, 'duration_ms': 408, 'protocol': 'TCP'}",Connection Duration Anomaly,"The duration of the connection between the source and destination ports is unusually long for a typical HTTP request. The duration of 408 ms is significantly longer than the average duration of an HTTP request, which is typically less than 100 ms. This could indicate a potential security issue, such as a denial-of-service (DoS) attack or a malicious actor attempting to establish a long-lived connection for malicious purposes.",0.01606376846185309
2025-06-14 22:08:08,"{'src_port': 8080, 'dst_port': 52089, 'packet_size': 1348, 'duration_ms': 451, 'protocol': 'UDP'}",Packet Size Anomaly,"The packet size of 1348 bytes is significantly larger than the average packet size of UDP traffic, which is typically around 500-1000 bytes. This could indicate a potential security threat or a malfunctioning device.",0.029753695473182074
2025-06-14 22:08:10,"{'src_port': 6666, 'dst_port': 61980, 'packet_size': 251, 'duration_ms': 74, 'protocol': 'TCP'}",Connection Duration Anomaly,"The duration of the connection is significantly longer than the average connection duration for this particular protocol and port combination. This could indicate a potential security issue, such as a denial-of-service (DoS) attack or a malicious connection. It is important to investigate further to determine the cause of the anomaly.",0.03608414909638724
2025-06-14 22:09:30,"{'src_port': 80, 'dst_port': 2367, 'packet_size': 1492, 'duration_ms': 453, 'protocol': 'TCP'}",Connection Timeout,"The duration of the connection is longer than the expected time for a TCP connection. The expected time for a TCP connection is around 200-400 milliseconds. In this case, the duration is 453 milliseconds, which is longer than the expected time. This could indicate a problem with the network or the application.",0.010137704182638707
2025-06-14 22:09:50,"{'src_port': 22, 'dst_port': 2793, 'packet_size': 1428, 'duration_ms': 497, 'protocol': 'UDP'}",Packet Size Anomaly,"The packet size of 1428 bytes is significantly larger than the average packet size for UDP traffic, which is typically around 500-1000 bytes. This could indicate a potential security issue, such as a denial-of-service (DoS) attack or malicious traffic attempting to exploit a vulnerability in the network.",0.009641882180691397
2025-06-14 22:10:12,"{'src_port': 8080, 'dst_port': 49550, 'packet_size': 448, 'duration_ms': 76, 'protocol': 'UDP'}",Packet Size Anomaly,"The packet size of 448 bytes is significantly larger than the average packet size of UDP traffic, which is typically around 500 bytes. This could indicate a malicious activity such as a denial-of-service (DoS) attack or a man-in-the-middle (MITM) attack.",0.011717666001908711
2025-06-14 22:10:50,"{'src_port': 8080, 'dst_port': 34149, 'packet_size': 1382, 'duration_ms': 55, 'protocol': 'TCP'}",Connection Duration Anomaly,The duration of the connection is significantly longer than the average connection duration for the given protocol and port numbers. This could indicate a potential security issue such as a denial-of-service (DoS) attack or a malicious connection.,0.037763438717168585
2025-06-14 22:11:34,"{'src_port': 8080, 'dst_port': 29569, 'packet_size': 1091, 'duration_ms': 500, 'protocol': 'TCP'}",Connection Duration Anomaly,"The duration of the connection is unusually long for a typical HTTP request. The duration of 500ms is much longer than the average duration of an HTTP request, which is typically less than 100ms. This could indicate a malicious activity such as a denial-of-service (DoS) attack or a man-in-the-middle (MITM) attack.",0.02500421464784519
2025-06-14 22:11:42,"{'src_port': 8080, 'dst_port': 44621, 'packet_size': 1365, 'duration_ms': 497, 'protocol': 'UDP'}",Packet Size Anomaly,The packet size of 1365 bytes is significantly larger than the average packet size for UDP traffic on port 8080. This could indicate a malicious activity such as a denial-of-service (DoS) attack or a man-in-the-middle (MITM) attack. It is important to investigate further to determine the source of the anomaly and take appropriate action to mitigate any potential security risks.,0.04811996396138973
2025-06-14 22:12:04,"{'src_port': 443, 'dst_port': 4931, 'packet_size': 119, 'duration_ms': 69, 'protocol': 'TCP'}",Connection Timeout,"The duration of the connection is longer than the expected time for a TCP connection. The expected time for a TCP connection is around 500ms. However, the duration of this connection is 69ms, which is significantly longer than expected. This could indicate a connection timeout or a network issue.",0.013285497745907926
2025-06-14 22:12:32,"{'src_port': 8080, 'dst_port': 48988, 'packet_size': 822, 'duration_ms': 59, 'protocol': 'TCP'}",Connection Duration Anomaly,The duration of the connection is significantly longer than the average connection duration for the given protocol and port numbers. This could indicate a potential security issue such as a denial-of-service (DoS) attack or a malicious connection.,0.019412405488295592
